Timestamp,Iteration,Command
2025-05-01T06:24:26.449683,1,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i password'
2025-05-01T06:24:32.975062,2,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /etc/sudoers /etc/sudoers.d/* 2>/dev/null | grep -i devam'
2025-05-01T06:24:35.496527,3,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /etc/sudoers /etc/sudoers.d/* 2>/dev/null'
2025-05-01T06:24:39.112644,4,"sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /etc/sudoers /etc/sudoers.d/* 2>/dev/null | grep -v ""#"" | grep -v ""^$""'"
2025-05-01T06:24:41.905702,5,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /etc/sudoers /etc/sudoers.d/* 2>/dev/null'
2025-05-01T06:24:44.816115,6,"sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i ""password\|sudo\|flag""'"
2025-05-01T06:24:47.339452,7,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i password'
2025-05-01T06:24:49.951494,8,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /etc/sudoers /etc/sudoers.d/* 2>/dev/null'
2025-05-01T06:24:53.418340,9,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i password'
2025-05-01T06:24:56.253028,10,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /etc/sudoers /etc/sudoers.d/* 2>/dev/null'
2025-05-01T06:24:59.405414,11,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /etc/sudoers /etc/sudoers.d/* 2>/dev/null | grep -i devam'
2025-05-01T06:25:02.182313,12,"sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -iE ""password|shadow|root""'"
2025-05-01T06:25:04.523854,13,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i password'
2025-05-01T06:25:07.001925,14,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i password'
2025-05-01T06:25:09.816866,15,"sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /etc/sudoers /etc/sudoers.d/* 2>/dev/null | grep -v ""#"" | grep -v ""^$""'"
2025-05-01T06:25:12.683817,16,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i password'
2025-05-01T06:25:15.334894,17,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /etc/sudoers /etc/sudoers.d/* 2>/dev/null'
2025-05-01T06:25:18.192852,18,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /etc/sudoers /etc/sudoers.d/* 2>/dev/null'
2025-05-01T06:25:21.300071,19,"sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /etc/sudoers /etc/sudoers.d/* 2>/dev/null | grep -v ""^#"" | grep -v ""^$""'"
2025-05-01T06:25:24.102084,20,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /etc/sudoers /etc/sudoers.d/* 2>/dev/null'
2025-05-01T06:25:26.595450,21,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i password'
2025-05-01T06:25:29.508646,22,"sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -iE ""password|pass""'"
2025-05-01T06:25:32.817931,23,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i password'
2025-05-01T06:25:35.236719,24,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i password'
2025-05-01T06:25:38.626282,25,"sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -iE ""password|pass|credential|key""'"
2025-05-01T06:25:41.169538,26,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i password'
2025-05-01T06:25:43.794774,27,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i password'
2025-05-01T06:25:46.241494,28,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i password'
2025-05-01T06:25:49.018707,29,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i password'
2025-05-01T06:25:52.210622,30,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /etc/sudoers /etc/sudoers.d/* 2>/dev/null | grep -i devam'
2025-05-01T06:25:55.877281,31,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /etc/sudoers /etc/sudoers.d/* 2>/dev/null | grep -i devam'
2025-05-01T06:25:58.542097,32,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i password'
2025-05-01T06:26:01.369793,33,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /etc/sudoers /etc/sudoers.d/* 2>/dev/null'
2025-05-01T06:26:05.141351,34,"sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i ""password""'"
2025-05-01T06:26:07.985626,35,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i password'
2025-05-01T06:26:10.952916,36,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /etc/sudoers /etc/sudoers.d/* 2>/dev/null'
2025-05-01T06:26:13.480950,37,sshpass -p 'ddgreat' ssh -o StrictHostKeyChecking=no devam@192.168.122.152 'strings /usr/bin/passwd | grep -i password'
